Şehir, Enlem, Boylam, Nüfus, Parti
ADANA, 37, 35.321333, 2220125, CHP
ADIYAMAN, 37.764751, 38.278561, 624513, AKP
AFYONKARAHİSAR, 38.750714, 30.556692, 725568, AKP
AĞRI, 39.626922, 43.021596, 539657, AKP
AKSARAY, 38.36869, 34.03698, 412172, AKP
AMASYA, 40.64991, 35.83532, 337508, MHP
ANKARA, 39.92077, 32.85411, 5503985, CHP
ANTALYA, 36.88414, 30.70563, 2426356, CHP
ARDAHAN, 41.110481, 42.702171, 98907, CHP
ARTVİN, 41.18277, 41.818292, 174010, CHP
AYDIN, 37.856041, 27.841631, 1097746, CHP
BALIKESİR, 39.648369, 27.88261, 1226575, AKP
BARTIN, 41.581051, 32.460979, 198999, MHP
BATMAN, 37.881168, 41.13509, 599103, HDP
BAYBURT, 40.255169, 40.22488, 82274, MHP
BİLECİK, 40.056656, 30.066524, 223448, CHP
BİNGÖL, 39.062635, 40.76961, 281205, AKP
BİTLİS, 38.393799, 42.12318, 349396, AKP
BOLU, 40.575977, 31.578809, 311810, CHP
BURDUR, 37.461267, 30.066524, 269926, CHP
BURSA, 40.266864, 29.063448, 2994521, AKP
ÇANAKKALE, 40.155312, 26.41416, 540662, CHP
ÇANKIRI, 40.601343, 33.613421, 216362, MHP
ÇORUM, 40.550556, 34.955556, 536483, CHP
DENİZLİ, 37.77652, 29.08639, 1027782, AKP
DİYARBAKIR, 37.91441, 40.230629, 1732396, HDP
DÜZCE, 40.843849, 31.15654, 387844, AKP
EDİRNE, 41.681808, 26.562269, 411528, CHP
ELAZIĞ, 38.680969, 39.226398, 595638, AKP
ERZİNCAN, 39.75, 39.5, 236034, MHP
ERZURUM, 39.9, 41.27, 767848, AKP
ESKİŞEHİR, 39.776667, 30.520556, 871187, CHP
GAZİANTEP, 37.06622, 37.38332, 2028563, AKP
GİRESUN, 40.912811, 38.38953, 453912, AKP
GÜMÜŞHANE, 40.438588, 39.508556, 162748, AKP
HAKKARİ, 37.583333, 43.733333, 286470, HDP
HATAY, 36.401849, 36.34981, 1609856, CHP
IĞDIR, 39.887984, 44.004836, 197456, HDP
ISPARTA, 37.764771, 30.556561, 441412, AKP
İSTANBUL, 41.00527, 28.97696, 15067724, CHP
İZMİR, 38.41885, 27.12872, 4320519, CHP
KAHRAMANMARAŞ, 37.585831, 36.937149, 1144851, AKP
KARABÜK, 41.2061, 32.62035, 248014, MHP
KARAMAN, 37.17593, 33.228748, 251913, MHP
KARS, 40.616667, 43.1, 288878, HDP
KASTAMONU, 41.38871, 33.78273, 383373, MHP
KAYSERİ, 38.73122, 35.478729, 1389680, AKP
KIRIKKALE, 39.846821, 33.515251, 286602, AKP
KIRKLARELİ, 41.733333, 27.216667, 360860, BAĞIMSIZ
KIRŞEHİR, 39.14249, 34.17091, 241868, CHP
KİLİS, 36.718399, 37.12122, 142541, AKP
KOCAELİ, 40.85327, 29.88152, 1906391, AKP
KONYA, 37.866667, 32.483333, 2205609, AKP
KÜTAHYA, 39.416667, 29.983333, 577941, MHP
MALATYA, 38.35519, 38.30946, 797036, AKP
MANİSA, 38.619099, 27.428921, 1429643, MHP
MARDİN, 37.321163, 40.724477, 829195, HDP
MERSİN, 36.8, 34.633333, 1814468, CHP
MUĞLA, 37.215278, 28.363611, 967487, CHP
MUŞ, 38.946189, 41.753893, 407992, AKP
NEVŞEHİR, 38.69394, 34.685651, 298339, AKP
NİĞDE, 37.966667, 34.683333, 364707, AKP
ORDU, 40.983879, 37.876411, 771932, AKP
OSMANİYE, 37.213026, 36.176261, 534415, MHP
RİZE, 41.02005, 40.523449, 348608, AKP
SAKARYA, 40.693997, 30.435763, 1010700, AKP
SAMSUN, 41.292782, 36.33128, 1335716, AKP
SİİRT, 37.933333, 41.95, 331670, HDP
SİNOP, 42.02314, 35.153069, 219733, CHP
SİVAS, 39.747662, 37.017879, 646608, AKP
ŞANLIURFA, 37.159149, 38.796909, 2035809, AKP
ŞIRNAK, 37.418748, 42.491834, 524190, AKP
TEKİRDAĞ, 40.983333, 27.516667, 1029927, CHP
TOKAT, 40.316667, 36.55, 612646, AKP
TRABZON, 41.00145, 39.7178, 807903, AKP
TUNCELİ, 39.307355, 39.438778, 88198, TKP
UŞAK, 38.682301, 29.40819, 367514, AKP
VAN, 38.48914, 43.40889, 1123784, HDP
YALOVA, 40.65, 29.266667, 262234, CHP
YOZGAT, 39.818081, 34.81469, 424981, AKP
ZONGULDAK, 41.456409, 31.798731, 599698, AKP